YEAR,TEAM NO,TEAM,SEED,ROUND,Z RATING,Z RATING RANK
2025,1141,Auburn,1,4,19.35,1
2025,1132,Duke,1,4,18.34,2
2025,1129,Gonzaga,8,32,17.58,3
2025,1131,Florida,1,1,16.98,4
2025,1143,Arizona,4,16,16.87,5
2025,1083,Wisconsin,3,32,16.71,6
2025,1091,Texas Tech,3,8,16.32,7
2025,1124,Iowa St.,3,32,16.26,8
2025,1113,Michigan St.,2,8,16.13,9
2025,1126,Houston,1,2,15.64,10
2025,1146,Alabama,2,8,15.62,11
2025,1122,Kentucky,3,64,15.5,12
2025,1123,Kansas,7,64,15.49,13
2025,1094,Tennessee,2,8,15.49,14
2025,1138,BYU,6,16,15.21,15
2025,1117,Maryland,4,16,15.08,16
2025,1112,Mississippi,6,16,14.85,17
2025,1110,Missouri,6,64,14.41,18
2025,1119,Louisville,8,64,14.4,19
2025,1102,Oregon,5,32,14.38,20
2025,1103,Oklahoma,9,64,14.3,21
2025,1081,Xavier,11,64,14.27,22
2025,1092,Texas A&M,4,32,14.17,23
2025,1140,Baylor,9,32,14.16,24
2025,1125,Illinois,6,32,14.1,25
2025,1093,Texas,11,68,13.93,26
2025,1118,Marquette,7,64,13.91,27
2025,1137,Clemson,5,8,13.8,28
2025,1111,Mississippi St.,8,64,13.8,29
2025,1114,Michigan,5,16,13.73,30
2025,1135,Connecticut,8,32,13.67,31
2025,1095,St. John's,2,32,13.58,32
2025,1134,Creighton,9,32,13.47,33
2025,1084,VCU,11,64,13.18,34
2025,1101,Purdue,4,16,13.13,35
2025,1136,Colorado St.,12,32,13.12,36
2025,1088,UCLA,7,32,13.01,37
2025,1085,Vanderbilt,10,64,12.96,38
2025,1104,North Carolina,11,64,12.86,39
2025,1130,Georgia,9,64,12.83,40
2025,1089,UC San Diego,12,64,12.59,41
2025,1142,Arkansas,10,16,12.48,42
2025,1086,Utah St.,10,64,12.43,43
2025,1080,Yale,13,64,11.91,44
2025,1098,Saint Mary's,7,32,11.73,45
2025,1120,Lipscomb,14,64,11.58,46
2025,1106,New Mexico,10,32,11.48,47
2025,1115,Memphis,5,64,11.24,48
2025,1116,McNeese St.,12,32,11.06,49
2025,1127,High Point,13,16,10.78,50
2025,1097,San Diego St.,11,68,10.59,51
2025,1121,Liberty,12,64,10.39,52
2025,1147,Akron,13,64,10.16,53
2025,1087,UNC Wilmington,14,64,10.09,54
2025,1128,Grand Canyon,13,16,10.02,55
2025,1090,Troy,14,64,9.9,56
2025,1109,Montana,14,64,9.62,57
2025,1105,Norfolk St.,16,64,9.53,58
2025,1139,Bryant,15,64,9.29,59
2025,1107,Nebraska Omaha,15,64,9.27,60
2025,1100,Robert Morris,15,64,9.27,61
2025,1082,Wofford,15,64,8.62,62
2025,1133,Drake,11,32,8.56,63
2025,1108,Mount St. Mary's,16,64,7.97,64
2025,1145,Alabama St.,16,64,7.9,65
2025,1096,SIU Edwardsville,16,64,7.84,66
2025,1144,American,16,68,7.46,67
2025,1099,Saint Francis,16,68,7.2,68
2024,1067,Connecticut,1,1,17.15,1
2024,1033,Purdue,1,2,16.95,2
2024,1066,Creighton,3,16,16.41,3
2024,1076,Auburn,4,64,16.11,4
2024,1077,Arizona,2,16,15.79,5
2024,1024,Tennessee,2,8,15.6,6
2024,1056,Houston,1,16,15.58,7
2024,1078,Alabama,4,4,15.57,8
2024,1053,Iowa St.,2,16,15.37,9
2024,1073,BYU,6,64,15.18,10
2024,1023,Texas,7,32,15,11
2024,1047,Marquette,2,16,14.51,12
2024,1038,North Carolina,1,16,14.48,13
2024,1051,Kansas,4,32,14.46,14
2024,1054,Illinois,3,8,14.2,15
2024,1075,Baylor,3,32,14.14,16
2024,1069,Colorado,10,32,14.13,17
2024,1050,Kentucky,3,64,14.1,18
2024,1025,TCU,9,64,14,19
2024,1059,Gonzaga,5,16,13.86,20
2024,1072,Clemson,6,8,13.81,21
2024,1041,Nebraska,8,64,13.75,22
2024,1063,Duke,4,8,13.71,23
2024,1068,Colorado St.,10,64,13.65,24
2024,1045,Michigan St.,9,32,13.4,25
2024,1021,Texas Tech,6,64,13.37,26
2024,1029,San Diego St.,5,16,13.2,27
2024,1013,Wisconsin,5,64,12.97,28
2024,1039,New Mexico,11,64,12.67,29
2024,1061,Florida,7,64,12.66,30
2024,1040,Nevada,10,64,12.64,31
2024,1044,Mississippi St.,8,64,12.63,32
2024,1022,Texas A&M,9,32,12.52,33
2024,1064,Drake,10,64,12.35,34
2024,1036,Northwestern,9,32,12.11,35
2024,1060,Florida Atlantic,8,64,12.09,36
2024,1037,North Carolina St.,11,4,12.07,37
2024,1074,Boise St.,10,68,12.06,38
2024,1034,Oregon,11,32,11.8,39
2024,1019,Utah St.,8,32,11.63,40
2024,1032,Saint Mary's,5,64,11.5,41
2024,1052,James Madison,12,32,11.26,42
2024,1065,Dayton,7,32,11.08,43
2024,1057,Grand Canyon,12,32,11.08,44
2024,1015,Washington St.,7,32,11.08,45
2024,1028,South Carolina,6,64,11.06,46
2024,1030,Samford,13,64,10.87,47
2024,1046,McNeese St.,12,64,10.42,48
2024,1062,Duquesne,11,32,10.35,49
2024,1070,College of Charleston,13,64,10.28,50
2024,1020,UAB,12,64,10.05,51
2024,1012,Yale,13,32,9.94,52
2024,1035,Oakland,14,32,9.82,53
2024,1079,Akron,14,64,9.49,54
2024,1042,Morehead St.,14,64,9.13,55
2024,1017,Virginia,10,68,9.08,56
2024,1071,Colgate,14,64,9.01,57
2024,1027,South Dakota St.,15,64,8.7,58
2024,1018,Vermont,13,64,8.7,59
2024,1048,Longwood,16,64,8.67,60
2024,1014,Western Kentucky,15,64,8.59,61
2024,1049,Long Beach St.,15,64,8.2,62
2024,1055,Howard,16,68,7.97,63
2024,1026,Stetson,16,64,7.89,64
2024,1043,Montana St.,16,68,7.79,65
2024,1031,Saint Peter's,15,64,7.17,66
2024,1058,Grambling St.,16,64,6.55,67
2024,1016,Wagner,16,64,5.9,68
2023,1002,Connecticut,4,1,N/A,1
2023,957,Texas,2,8,N/A,2
2023,952,UCLA,2,16,N/A,3
2023,958,Tennessee,4,16,N/A,4
2023,1011,Alabama,1,16,N/A,5
2023,1006,Baylor,3,32,N/A,6
2023,986,Kansas,1,32,N/A,7
2023,995,Gonzaga,3,8,N/A,8
2023,1001,Creighton,6,8,N/A,9
2023,980,Marquette,2,32,N/A,10
2023,944,Xavier,3,16,N/A,11
2023,945,West Virginia,9,64,N/A,12
2023,1010,Arizona,2,64,N/A,13
2023,993,Houston,1,16,N/A,14
2023,978,Memphis,8,64,N/A,15
2023,949,Utah St.,10,64,N/A,16
2023,963,Purdue,1,64,N/A,17
2023,961,San Diego St.,5,2,N/A,18
2023,990,Indiana,4,32,N/A,19
2023,974,Missouri,7,32,N/A,20
2023,985,Kansas St.,3,8,N/A,21
2023,988,Iowa,8,64,N/A,22
2023,964,Providence,11,64,N/A,23
2023,959,TCU,6,32,N/A,24
2023,999,Duke,5,32,N/A,25
2023,976,Michigan St.,7,16,N/A,26
2023,968,Oral Roberts,12,64,N/A,27
2023,977,Miami FL,5,4,N/A,28
2023,956,Texas A&M,7,64,N/A,29
2023,982,Kentucky,6,32,N/A,30
2023,966,Pittsburgh,11,32,N/A,31
2023,987,Iowa St.,6,64,N/A,32
2023,1007,Auburn,9,32,N/A,33
2023,971,North Carolina St.,11,64,N/A,34
2023,997,Florida Atlantic,9,4,N/A,35
2023,972,Nevada,11,68,N/A,36
2023,967,Penn St.,10,32,N/A,37
2023,969,Northwestern,7,32,N/A,38
2023,950,USC,10,64,N/A,39
2023,979,Maryland,8,32,N/A,40
2023,1000,Drake,12,64,N/A,41
2023,1005,Boise St.,10,64,N/A,42
2023,1008,Arkansas,8,16,N/A,43
2023,983,Kent St.,13,64,N/A,44
2023,955,Texas A&M Corpus Chris,16,64,N/A,45
2023,991,Illinois,9,64,N/A,46
2023,996,Furman,13,32,N/A,47
2023,1003,College of Charleston,12,64,N/A,48
2023,1009,Arizona St.,11,64,N/A,49
2023,989,Iona,13,64,N/A,50
2023,962,Saint Mary's,5,32,N/A,51
2023,946,Virginia,4,64,N/A,52
2023,1004,Colgate,15,64,N/A,53
2023,948,VCU,12,64,N/A,54
2023,973,Montana St.,14,64,N/A,55
2023,975,Mississippi St.,11,68,N/A,56
2023,981,Louisiana Lafayette,13,64,N/A,57
2023,965,Princeton,15,16,N/A,58
2023,953,UC Santa Barbara,14,64,N/A,59
2023,947,Vermont,15,64,N/A,60
2023,984,Kennesaw St.,14,64,N/A,61
2023,994,Grand Canyon,14,64,N/A,62
2023,951,UNC Asheville,15,64,N/A,63
2023,998,Fairleigh Dickinson,16,32,N/A,64
2023,992,Howard,16,64,N/A,65
2023,970,Northern Kentucky,16,64,N/A,66
2023,960,Southeast Missouri St.,16,68,N/A,67
2023,954,Texas Southern,16,68,N/A,68
2022,918,Kansas,1,1,N/A,1
2022,925,Gonzaga,1,16,N/A,2
2022,917,Kentucky,2,64,N/A,3
2022,938,Baylor,1,32,N/A,4
2022,927,Duke,2,4,N/A,5
2022,886,Texas Tech,3,16,N/A,6
2022,890,Tennessee,3,32,N/A,7
2022,921,Iowa,5,64,N/A,8
2022,881,Villanova,2,4,N/A,9
2022,900,Purdue,3,16,N/A,10
2022,941,Arizona,1,16,N/A,11
2022,884,UCLA,4,16,N/A,12
2022,924,Houston,5,8,N/A,13
2022,923,Illinois,4,32,N/A,14
2022,939,Auburn,2,32,N/A,15
2022,910,Michigan,11,16,N/A,16
2022,931,Connecticut,5,64,N/A,17
2022,904,North Carolina,8,2,N/A,18
2022,909,Michigan St.,7,32,N/A,19
2022,889,Texas,6,32,N/A,20
2022,942,Alabama,6,64,N/A,21
2022,914,LSU,6,64,N/A,22
2022,903,Notre Dame,11,32,N/A,23
2022,922,Indiana,12,64,N/A,24
2022,940,Arkansas,4,8,N/A,25
2022,902,Ohio St.,7,32,N/A,26
2022,897,Saint Mary's,5,32,N/A,27
2022,911,Miami FL,10,8,N/A,28
2022,893,Seton Hall,8,64,N/A,29
2022,920,Iowa St.,11,16,N/A,30
2022,880,Virginia Tech,11,64,N/A,31
2022,879,Wisconsin,3,32,N/A,32
2022,932,Colorado St.,6,64,N/A,33
2022,912,Memphis,9,32,N/A,34
2022,915,Loyola Chicago,10,64,N/A,35
2022,913,Marquette,9,64,N/A,36
2022,882,Vermont,13,64,N/A,37
2022,894,San Francisco,10,64,N/A,38
2022,901,Providence,4,16,N/A,39
2022,885,UAB,12,64,N/A,40
2022,929,Davidson,10,64,N/A,41
2022,930,Creighton,9,32,N/A,42
2022,891,TCU,9,32,N/A,43
2022,899,Richmond,12,32,N/A,44
2022,898,Rutgers,11,68,N/A,45
2022,907,Murray St.,7,32,N/A,46
2022,895,San Diego St.,8,64,N/A,47
2022,892,South Dakota St.,13,64,N/A,48
2022,883,USC,7,64,N/A,49
2022,934,Chattanooga,13,64,N/A,50
2022,877,Wyoming,12,68,N/A,51
2022,933,Colgate,14,64,N/A,52
2022,937,Boise St.,8,64,N/A,53
2022,906,New Mexico St.,12,32,N/A,54
2022,926,Georgia St.,16,64,N/A,55
2022,908,Montana St.,14,64,N/A,56
2022,916,Longwood,14,64,N/A,57
2022,928,Delaware,15,64,N/A,58
2022,876,Yale,14,64,N/A,59
2022,888,Texas A&M Corpus Chris,16,68,N/A,60
2022,936,Bryant,16,68,N/A,61
2022,919,Jacksonville St.,15,64,N/A,62
2022,935,Cal St. Fullerton,15,64,N/A,63
2022,887,Texas Southern,16,64,N/A,64
2022,878,Wright St.,16,64,N/A,65
2022,905,Norfolk St.,16,64,N/A,66
2022,896,Saint Peter's,15,8,N/A,67
2022,943,Akron,13,64,N/A,68
2021,871,Baylor,1,1,N/A,1
2021,844,Michigan,1,8,N/A,2
2021,856,Gonzaga,1,2,N/A,3
2021,850,Iowa,2,32,N/A,4
2021,866,Colorado,5,32,N/A,5
2021,870,BYU,6,64,N/A,6
2021,853,Houston,2,4,N/A,7
2021,852,Illinois,1,32,N/A,8
2021,835,Ohio St.,2,64,N/A,9
2021,824,Tennessee,5,64,N/A,10
2021,814,Villanova,5,16,N/A,11
2021,834,Oklahoma,8,32,N/A,12
2021,808,Wisconsin,9,32,N/A,13
2021,857,Georgia Tech,9,64,N/A,14
2021,874,Alabama,2,16,N/A,15
2021,849,Kansas,3,32,N/A,16
2021,859,Florida St.,4,16,N/A,17
2021,823,Texas,3,64,N/A,18
2021,827,San Diego St.,6,64,N/A,19
2021,825,Syracuse,11,16,N/A,20
2021,865,Connecticut,7,64,N/A,21
2021,811,West Virginia,3,32,N/A,22
2021,846,LSU,8,32,N/A,23
2021,872,Arkansas,3,8,N/A,24
2021,817,USC,6,8,N/A,25
2021,821,Texas Tech,6,32,N/A,26
2021,858,Georgetown,12,64,N/A,27
2021,813,Virginia,4,64,N/A,28
2021,860,Florida,7,32,N/A,29
2021,864,Creighton,5,16,N/A,30
2021,847,Loyola Chicago,8,16,N/A,31
2021,842,Missouri,9,64,N/A,32
2021,869,Clemson,7,64,N/A,33
2021,833,Oklahoma St.,4,32,N/A,34
2021,829,Purdue,4,64,N/A,35
2021,816,Utah St.,11,64,N/A,36
2021,831,Oregon,7,16,N/A,37
2021,838,North Carolina,8,64,N/A,38
2021,820,UC Santa Barbara,12,64,N/A,39
2021,867,Colgate,14,64,N/A,40
2021,819,UCLA,11,4,N/A,41
2021,826,St. Bonaventure,9,64,N/A,42
2021,830,Oregon St.,12,8,N/A,43
2021,815,VCU,10,64,N/A,44
2021,843,Michigan St.,11,68,N/A,45
2021,836,Ohio,13,32,N/A,46
2021,863,Drake,11,64,N/A,47
2021,810,Wichita St.,11,68,N/A,48
2021,812,Virginia Tech,10,64,N/A,49
2021,828,Rutgers,10,32,N/A,50
2021,845,Maryland,10,32,N/A,51
2021,875,Abilene Christian,14,32,N/A,52
2021,861,Eastern Washington,14,64,N/A,53
2021,848,Liberty,13,64,N/A,54
2021,832,Oral Roberts,15,16,N/A,55
2021,855,Grand Canyon,15,64,N/A,56
2021,837,North Texas,13,32,N/A,57
2021,809,Winthrop,12,64,N/A,58
2021,818,UNC Greensboro,13,64,N/A,59
2021,851,Iona,15,64,N/A,60
2021,862,Drexel,16,64,N/A,61
2021,839,Norfolk St.,16,64,N/A,62
2021,868,Cleveland St.,15,64,N/A,63
